keys,en,fr,de,it,es,pt
PROP_ORBIT_VELOCITY_RANDOM,Orbital Velocity Rand,Vitesse Orbitale Rand,Orbitale Geschwindigkeit Rand,Orbital Velocity Rand,Velocidad orbital Rand,Rand de velocidade orbital
TIP_ORBIT_VELOCITY_RANDOM,Randomness of each particle's orbital velocity,Caractère aléatoire de la vitesse orbitale de chaque particule,Zufälligkeit der Umlaufgeschwindigkeit jedes Teilchens,Casualità della velocità orbitale di ogni particella,Aleatoriedad de la velocidad orbital de cada partícula,Aleatoriedade da velocidade orbital de cada partícula
PROP_RADIAL_CURVE,Radial Acceleration,Accélération radiale,Radialbeschleunigung,Accelerazione radiale,Aceleración radial,Aceleração Radial
TIP_RADIAL_CURVE,"The radial acceleration of each particle.
When positive, particles move away from the center. When negative, they move towards it","L'accélération radiale de chaque particule.
Lorsque positif, les particules s'éloignent du centre. Quand négatif, ils se dirigent vers lui ","Die radiale Beschleunigung jedes Teilchens.
Wenn positiv, bewegen sich Partikel vom Zentrum weg. Wenn sie negativ sind, bewegen sie sich darauf zu ","L'accelerazione radiale di ogni particella.
Quando sono positive, le particelle si allontanano dal centro. Quando sono negativi, si muovono verso di esso ","La aceleración radial de cada partícula.
Cuando es positivo, las partículas se alejan del centro. Cuando es negativo, se mueven hacia él ","A aceleração radial de cada partícula.
Quando positivo, as partículas se afastam do centro. Quando negativo, eles se movem em direção a ele "
PROP_RADIAL_RANDOM,Radial Acceleration Rand,Rand d'accélération radiale,Radialbeschleunigung Rand,Rand Radial Acceleration,Rand de aceleración radial,Rand de aceleração radial
TIP_RADIAL_RANDOM,Randomness of each particle's radial acceleration,Aléatoire de l'accélération radiale de chaque particule,Zufälligkeit der radialen Beschleunigung jedes Teilchens,Casualità dell'accelerazione radiale di ogni particella,Aleatoriedad de la aceleración radial de cada partícula,Aleatoriedade da aceleração radial de cada partícula
PROP_TANGENT_CURVE,Tangent Acceleration,Accélération tangente,Tangente Beschleunigung,Accelerazione tangente,Aceleración de la tangente,Aceleração Tangente
TIP_TANGENT_CURVE,"The tangential acceleration of each particle.
Uses the tangent vector to the center as the basis of the acceleration","L'accélération tangentielle de chaque particule.
Utilise le vecteur tangent au centre comme base de l'accélération ","Die tangentiale Beschleunigung jedes Teilchens.
Verwendet den Tangentenvektor zur Mitte als Grundlage der Beschleunigung ","L'accelerazione tangenziale di ogni particella.
Usa il vettore tangente al centro come base dell'accelerazione ","La aceleración tangencial de cada partícula.
Utiliza el vector tangente al centro como base de la aceleración ","A aceleração tangencial de cada partícula.
Usa o vetor tangente para o centro como base da aceleração "
PROP_TANGENT_RANDOM,Tangent Acceleration Rand,Randonnée tangente,Tangente Beschleunigungsrand,Rand di accelerazione tangente,Tangent Acceleration Rand,Rand de Aceleração Tangente
TIP_TANGENT_RANDOM,Randomness of each particle's tangential acceleration,Caractère aléatoire de l'accélération tangentielle de chaque particule,Zufälligkeit der tangentialen Beschleunigung jedes Teilchens,Casualità dell'accelerazione tangenziale di ogni particella,Aleatoriedad de la aceleración tangencial de cada partícula,Aleatoriedade da aceleração tangencial de cada partícula
PROP_DAMPING_CURVE,Damping Curve,Courbe d'amortissement,Dämpfungskurve,Damping Curve,Curva de amortiguación,Curva de amortecimento
TIP_DAMPING_CURVE,"Damping applied to each particle over it's lifetime. This will slow a particle down, but it does not affect gravity","Amortissement appliqué à chaque particule pendant sa durée de vie. Cela ralentira une particule, mais n'affecte pas la gravité","Dämpfung für jedes Partikel während seiner Lebensdauer. Dies wird ein Teilchen verlangsamen, aber es beeinflusst die Schwerkraft nicht","Smorzamento applicato a ciascuna particella nel corso della sua vita. Questo rallenterà una particella verso il basso, ma non influirà sulla gravità","Amortiguación aplicada a cada partícula durante su vida útil. Esto reducirá la velocidad de una partícula, pero no afecta la gravedad","Amortecimento aplicado a cada partícula durante sua vida útil. Isso diminuirá a partícula, mas não afeta a gravidade"
PROP_DAMPING_RANDOM,Damping Rand,Amortissement Rand,Dämpfender Rand,Rand smorzante,Damping Rand,Amortecimento do Rand
TIP_DAMPING_RANDOM,Randomness of the damping,Aléatoire de l'amortissement,Zufälligkeit der Dämpfung,Casualità dello smorzamento,Aleatoriedad de la amortiguación,Aleatoriedade do amortecimento
PROP_USE_FLOW_MAP,Use Flow Map,Utiliser la carte de flux,Verwenden Sie die Flusskarte,Usa la mappa del flusso,Usar mapa de flujo,Use o mapa de fluxo
TIP_USE_FLOW_MAP,Enable or disable the use of a flow map,Activer ou désactiver l'utilisation d'une carte de flux,Aktivieren oder deaktivieren Sie die Verwendung einer Flow-Map,Abilita o disabilita l'uso di una mappa di flusso,Habilitar o deshabilitar el uso de un mapa de flujo,Ativar ou desativar o uso de um mapa de fluxo
PROP_FLOW_MAP_TEX,Texture,Texture,Textur,Struttura,Textura,Textura
TIP_FLOW_MAP_TEX,"The flow map texture to use.
This texture will push particles around based on the colour values in the red and green channels of the texture.
The particles look up the colour of the texture based on their current position.","La texture de la carte de flux à utiliser.
Cette texture poussera les particules en fonction des valeurs de couleur dans les canaux rouge et vert de la texture.
Les particules recherchent la couleur de la texture en fonction de leur position actuelle. ","Die zu verwendende Flusskartenstruktur.
Diese Textur verschiebt Partikel basierend auf den Farbwerten in den roten und grünen Kanälen der Textur.
Die Partikel sehen anhand ihrer aktuellen Position die Farbe der Textur nach. ","La texture della mappa del flusso da usare.
Questa texture spinge le particelle attorno in base ai valori di colore nei canali rosso e verde della trama.
Le particelle cercano il colore della trama in base alla loro posizione attuale. ","La textura del mapa de flujo a usar.
Esta textura empujará partículas en función de los valores de color en los canales rojo y verde de la textura.
Las partículas buscan el color de la textura en función de su posición actual .","A textura do mapa de fluxo a ser usada.
Essa textura empurrará as partículas com base nos valores das cores nos canais vermelho e verde da textura.
As partículas procuram a cor da textura com base em sua posição atual ."
PROP_FLOW_MAP_MULTIPLIER,Strength,Force,Stärke,Forza,Fuerza,Força
TIP_FLOW_MAP_MULTIPLIER,The strength of the force applied by the flow map to the particle's velocity,La force de la force appliquée par la carte de flux à la vitesse de la particule,"Die Stärke der Kraft, die von der Strömungskarte auf die Geschwindigkeit des Teilchens ausgeübt wird",La forza della forza applicata dalla mappa del flusso alla velocità della particella,La fuerza de la fuerza aplicada por el mapa de flujo a la velocidad de la partícula,A força da força aplicada pelo mapa de fluxo à velocidade da partícula
KEY_NONE,None,Aucun,Keiner,Nessuna,Ninguna,Nenhum
KEY_SIN_COS,Sin & Cos,Sin & Cos,Sünde & Cos,Sin & Cos,Sin y Cos,Pecado e Cos
TIP_MOTION_TYPE,Available options for moving the emitter,Options disponibles pour déplacer l'émetteur,Verfügbare Optionen zum Bewegen des Senders,Opzioni disponibili per spostare l'emettitore,Opciones disponibles para mover el emisor,Opções disponíveis para mover o emissor
TIP_SIN_FREQ,The frequency of the horizontal movement,La fréquence du mouvement horizontal,Die Häufigkeit der horizontalen Bewegung,La frequenza del movimento orizzontale,La frecuencia del movimiento horizontal,A frequência do movimento horizontal
TIP_COS_FREQ,The frequency of the vertical movement,La fréquence du mouvement vertical,Die Häufigkeit der vertikalen Bewegung,La frequenza del movimento verticale,La frecuencia del movimiento vertical,A frequência do movimento vertical
PROP_SIN_FREQ_OFFSET,Sin Offset,Décalage du péché,Sin Offset,Sin Offset,Sin compensación,Sin deslocamento
TIP_SIN_FREQ_OFFSET,The frequency offset of the horizontal movement,Le décalage de fréquence du mouvement horizontal,Der Frequenzversatz der horizontalen Bewegung,L'offset di frequenza del movimento orizzontale,El desplazamiento de frecuencia del movimiento horizontal,O deslocamento de freqüência do movimento horizontal
PROP_COS_FREQ_OFFSET,Cos Offset,Décalage Cos,Cos Offset,Offset di Cos,Cos Offset,Cos Offset
TIP_COS_FREQ_OFFSET,The frequency offset of the vertical movement,Le décalage de fréquence du mouvement vertical,Der Frequenzversatz der vertikalen Bewegung,L'offset di frequenza del movimento verticale,El desplazamiento de frecuencia del movimiento vertical,O deslocamento de freqüência do movimento vertical
TIP_SIN_AMP,The amplitude of the horizontal movement,L'amplitude du mouvement horizontal,Die Amplitude der horizontalen Bewegung,L'ampiezza del movimento orizzontale,La amplitud del movimiento horizontal,A amplitude do movimento horizontal
TIP_COS_AMP,The amplitude of the vertical movement,L'amplitude du mouvement vertical,Die Amplitude der vertikalen Bewegung,L'ampiezza del movimento verticale,La amplitud del movimiento vertical,A amplitude do movimento vertical
SHAPE_POINT,Point,Point,Punkt,Punto,Punto,Ponto
SHAPE_CIRCLE,Circle,Cercle,Kreis,Cerchio,Circulo,Círculo
SHAPE_BOX,Box,Boîte,Box,Scatola,Caja,Caixa
PROP_EMITTER_SHAPE,Emitter Shape,Forme d'émetteur,Emitterform,Forma dell'emettitore,Forma del emisor,Forma do emissor
TIP_EMITTER_SHAPE,The shape of the area where particles are created,La forme de la zone où les particules sont créées,"Die Form des Bereichs, in dem Partikel erzeugt werden",La forma dell'area in cui vengono create le particelle,La forma del área donde se crean las partículas,A forma da área onde as partículas são criadas
PROP_EMITTER_WIDTH,Width,Largeur,Breite,Larghezza,Anchura,Largura
TIP_EMITTER_WIDTH,The width of the particle creation area,La largeur de la zone de création de particules,Die Breite des Partikelerstellungsbereichs,La larghezza dell'area di creazione delle particelle,El ancho del área de creación de partículas,A largura da área de criação de partículas
PROP_EMITTER_HEIGHT,Height,la taille,Höhe,Altezza,Altura,Altura
TIP_EMITTER_HEIGHT,The height of the particle creation area,La hauteur de la zone de création de particules,Die Höhe des Partikelerstellungsbereichs,L'altezza dell'area di creazione delle particelle,La altura del área de creación de partículas,A altura da área de criação de partículas
PROP_EMITTER_MIN_RADIUS,Min Radius,Rayon minimum,Min. Radius,Raggio minimo,Min Radio,Raio Mínimo
TIP_EMITTER_MIN_RADIUS,The inner radius of the particle creation area,Le rayon intérieur de la zone de création de particules,Der innere Radius des Partikelerstellungsbereichs,Il raggio interno dell'area di creazione delle particelle,El radio interno del área de creación de partículas,O raio interno da área de criação de partículas
PROP_EMITTER_MAX_RADIUS,Max Radius,Max Radius,Max Radius,Raggio massimo,Max Radius,Max Radius
TIP_EMITTER_MAX_RADIUS,The outer radius of the particle creation area,Le rayon externe de la zone de création de particules,Der äußere Radius des Partikelerstellungsbereichs,Il raggio esterno dell'area di creazione delle particelle,El radio exterior del área de creación de partículas,O raio externo da área de criação de partículas
TIP_PARTICLE_TEX,The image to use for each particle,L'image à utiliser pour chaque particule,"Das Bild, das für jedes Partikel verwendet werden soll",L'immagine da usare per ogni particella,La imagen a usar para cada partícula,A imagem a ser usada para cada partícula
PROP_PARTICLE_TILES,Sheet Columns & Rows,Colonnes et rangées de feuilles,Blatt Spalten und Zeilen,Colonne e righe del foglio,Columnas y filas de hojas,Colunas e linhas de folha
TIP_PARTICLE_TILES,"If the image contains multiple frames (a sprite sheet), use the X & Y values to define the column and row count","Si l'image contient plusieurs images (une feuille de sprite), utilisez les valeurs X et Y pour définir le nombre de colonnes et de lignes.","Wenn das Bild mehrere Frames (ein Sprite-Blatt) enthält, verwenden Sie die X- und Y-Werte, um die Anzahl der Spalten und Zeilen zu definieren","Se l'immagine contiene più fotogrammi (un foglio sprite), utilizzare i valori X e Y per definire la colonna e il conteggio delle righe","Si la imagen contiene varios fotogramas (una hoja de sprites), use los valores X e Y para definir el recuento de columnas y filas.","Se a imagem contiver vários quadros (uma folha de sprite), use os valores X e Y para definir a contagem de colunas e linhas"
PROP_PARTICLE_ANIM_SPEED,Animation Speed,La vitesse d'animation,Animations Geschwindigkeit,Velocità di animazione,Velocidad de animación,Velocidade da animação
TIP_PARTICLE_ANIM_SPEED,Speed that the particle's animation will play at,Vitesse que l'animation de la particule jouera à,"Geschwindigkeit, mit der die Animation des Partikels wiedergegeben wird",Velocità a cui giocherà l'animazione della particella,Velocidad que la animación de la partícula jugará en,Velocidade que a animação da partícula vai tocar em
PROP_OFFSET,Center Pivot,,,,,
TIP_OFFSET,Change the center point of the particle,,,,,
PROP_LIFETIME_COLOR,Lifetime Colour,Couleur à vie,Lebenslange Farbe,Colore a vita,Color de por vida,Cor vitalícia
TIP_LIFETIME_COLOR,Modulated colour of the particle over its lifetime,Couleur modulée de la particule au cours de sa vie,Modulierte Farbe des Partikels über seine Lebensdauer,Colore modulato della particella nel corso della sua vita,Color modulado de la partícula a lo largo de su vida útil,Cor modulada da partícula ao longo de sua vida útil
PROP_PARTICLE_HUE_VARIATION,Hue Offset,,,,,
TIP_PARTICLE_HUE_VARIATION,The hue offset in degrees. Can be used to cycle or vary the base lifetime colour,,,,,
PROP_PARTICLE_ALIGN,Align to Velocity,Aligner sur la vitesse,Richten Sie sich auf Velocity aus,Allinea a Velocity,Alinear a la velocidad,Alinhar à velocidade
TIP_PARTICLE_ALIGN,Aligns the particle to the direction (velocity) its travelling in,Aligne la particule à la direction (vitesse) dans laquelle elle se déplace,"Richtet das Partikel an der Richtung (Geschwindigkeit) aus, in der es sich bewegt",Allinea la particella alla direzione (velocità) in cui viaggia,Alinea la partícula según la dirección (velocidad) en la que viaja,Alinha a partícula para a direção (velocidade) sua viagem em
PROP_PARTICLE_INIT_ANGLE,Initial Angle,Angle initial,Anfangswinkel,Angolo iniziale,Ángulo inicial,Ângulo inicial
TIP_PARTICLE_INIT_ANGLE,Inital rotation of the particle,Rotation initiale de la particule,Initale Rotation des Partikels,Rotazione iniziale della particella,Rotación inicial de la partícula,Rotação inicial da partícula
PROP_PARTICLE_ANGLE_OFFSET,Angle Offset,Décalage d'angle,Winkelversatz,Offset angolo,Desplazamiento de ángulo,Desvio de ângulo
